Bundle,State
org.eclipse.jsch.ui_1.3.0.v20160323-1650,STARTING
org.eclipse.ltk.core.refactoring_3.7.0.v20160419-0705,STARTING
org.eclipse.ltk.ui.refactoring_3.8.0.v20160518-1817,STARTING
org.eclipse.osgi.compatibility.plugins_1.0.0.v20131023-1243,RESOLVED
org.eclipse.osgi.compatibility.state_1.0.200.v20160504-1419,RESOLVED
org.eclipse.osgi.services_3.5.100.v20160504-1419,RESOLVED
org.eclipse.osgi.util_3.3.100.v20150423-1351,RESOLVED
org.eclipse.pde_3.12.3.v20170301-0400,RESOLVED
org.eclipse.pde.api.tools_1.1.2.v20161115-0549,STARTING
org.eclipse.pde.api.tools.annotations_1.0.100.v20160418-1724,RESOLVED
org.eclipse.pde.api.tools.ee.cdcfoundation10_1.0.200.v20130327-1631,RESOLVED
org.eclipse.pde.api.tools.ee.cdcfoundation11_1.0.200.v20130327-1631,RESOLVED
org.eclipse.pde.api.tools.ee.j2se12_1.0.200.v20130327-1631,RESOLVED
org.eclipse.pde.api.tools.ee.j2se13_1.0.200.v20130327-1631,RESOLVED
org.eclipse.pde.api.tools.ee.j2se14_1.0.200.v20130327-1631,RESOLVED
org.eclipse.pde.api.tools.ee.j2se15_1.0.200.v20130327-1631,RESOLVED
org.eclipse.pde.api.tools.ee.javase16_1.0.200.v20130327-1631,RESOLVED
org.eclipse.pde.api.tools.ee.javase17_1.0.100.v20130327-1631,RESOLVED
org.eclipse.pde.api.tools.ee.javase18_1.0.0.v20160419-1303,RESOLVED
org.eclipse.pde.api.tools.ee.jre11_1.0.200.v20130327-1631,RESOLVED
org.eclipse.pde.api.tools.ee.osgiminimum12_1.0.300.v20130327-1631,RESOLVED
org.eclipse.pde.api.tools.ui_1.1.0.v20160519-0701,STARTING
org.eclipse.pde.build_3.9.200.v20160204-0642,STARTING
org.eclipse.pde.core_3.11.1.v20161115-1951,STARTING
org.eclipse.pde.ds.annotations_1.0.0.v20160525-1437,STARTING
org.eclipse.pde.ds.core_1.1.0.v20151201-1325,STARTING
org.eclipse.pde.ds.ui_1.1.0.v20160518-1843,STARTING
org.eclipse.pde.junit.runtime_3.5.0.v20151013-0625,STARTING
org.eclipse.pde.launching_3.6.401.v20161115-0549,STARTING
org.eclipse.pde.runtime_3.5.0.v20160418-1724,STARTING
org.eclipse.pde.tools.versioning_1.0.200.v20140518-1929,STARTING
org.eclipse.pde.ua.core_1.0.500.v20160204-0642,STARTING
org.eclipse.pde.ua.ui_1.1.0.v20160518-1843,STARTING
org.eclipse.pde.ui_3.9.100.v20161102-0517,STARTING
org.eclipse.pde.ui.templates_3.6.0.v20160424-1948,STARTING
org.eclipse.platform_4.6.3.v20170301-0400,RESOLVED
org.eclipse.rcp_4.6.3.v20170301-0400,STARTING
org.eclipse.releng.tools_3.9.0.v20160416-2220,STARTING
org.eclipse.sdk_4.6.3.v20170301-0400,RESOLVED
org.eclipse.sdk.examples_3.5.600.v20170301-0400,RESOLVED
org.eclipse.search_3.11.1.v20161113-1700,STARTING
org.eclipse.swt_3.105.3.v20170228-0512,RESOLVED
org.eclipse.swt.cocoa.macosx.x86_64_3.105.3.v20170228-0512,RESOLVED
