Bundle,Classpath Size
org.eclipse.equinox.p2.publisher.eclipse_1.2.100.v20160504-1450,487
org.eclipse.equinox.p2.reconciler.dropins_1.1.400.v20160504-1450,553
org.eclipse.equinox.p2.repository_2.3.200.v20160421-0324,479
org.eclipse.equinox.p2.repository.tools_2.1.300.v20160421-0324,823
org.eclipse.equinox.p2.touchpoint.eclipse_2.1.400.v20160419-0834,524
org.eclipse.equinox.p2.touchpoint.natives_1.2.100.v20160419-0834,346
org.eclipse.equinox.p2.transport.ecf_1.1.201.v20161115-1927,577
org.eclipse.equinox.p2.ui_2.4.100.v20160419-0834,2237
org.eclipse.equinox.p2.ui.admin_1.0.200.v20150430-1836,5689
org.eclipse.equinox.p2.ui.admin.rcp_1.0.200.v20150220-1741,8
org.eclipse.equinox.p2.ui.discovery_1.0.201.v20160901-1335,6692
org.eclipse.equinox.p2.ui.importexport_1.1.200.v20160521-1138,1891
org.eclipse.equinox.p2.ui.sdk_1.0.400.v20150423-1455,1555
org.eclipse.equinox.p2.ui.sdk.scheduler_1.3.0.v20161124-1529,1815
org.eclipse.equinox.p2.updatechecker_1.1.300.v20161124-1529,160
org.eclipse.equinox.p2.updatesite_1.0.600.v20160504-1450,482
org.eclipse.equinox.preferences_3.6.1.v20160815-1406,303
org.eclipse.equinox.region_1.3.2.v20170118-1930,0
org.eclipse.equinox.registry_3.6.100.v20160223-2218,281
org.eclipse.equinox.security_1.2.200.v20150715-1528,241
org.eclipse.equinox.security.macosx_1.100.200.v20130327-1442,0
org.eclipse.equinox.security.ui_1.1.300.v20150803-1225,1158
org.eclipse.equinox.servletbridge_1.3.200.v20160128-1435,82
org.eclipse.equinox.simpleconfigurator_1.1.200.v20160504-1450,107
org.eclipse.equinox.simpleconfigurator.manipulator_2.0.200.v20160504-1450,158
org.eclipse.equinox.supplement_1.6.100.v20160504-1419,149
org.eclipse.equinox.transforms.hook_1.1.0.v20131021-1933,0
org.eclipse.equinox.transforms.xslt_1.0.300.v20130327-1442,69
org.eclipse.equinox.useradmin_1.1.400.v20130327-1442,135
org.eclipse.equinox.util_1.0.500.v20130404-1337,119
org.eclipse.equinox.weaving.caching_1.0.400.v20140529-1734,72
org.eclipse.equinox.weaving.caching.j9_1.0.200.v20140529-1734,64
org.eclipse.equinox.weaving.hook_1.1.200.v20150730-1648,0
org.eclipse.equinox.wireadmin_1.0.600.v20150715-1528,115
org.eclipse.help_3.7.0.v20160602-1307,1675
org.eclipse.help.base_4.1.2.v20170301-0400,3140
org.eclipse.help.ui_4.0.200.v20160510-0758,2370
org.eclipse.help.webapp_3.8.0.v20160504-0839,2107
org.eclipse.jdt_3.12.3.v20170301-0400,314
org.eclipse.jdt.annotation_2.1.0.v20160418-1457,6
org.eclipse.jdt.apt.core_3.4.100.v20160525-0952,4680
org.eclipse.jdt.apt.pluggable.core_1.1.100.v20160418-1457,3371
org.eclipse.jdt.apt.ui_3.4.100.v20160418-1457,8222
